state,IN_COUNT_18_24,OUT_COUNT_18_24,POP_AGE_18_24,NET_COUNT_18_24,IN_RATE_18_24,OUT_RATE_18_24,NET_RATE_18_24,IN_COUNT_25_34,OUT_COUNT_25_34,POP_AGE_25_34,NET_COUNT_25_34,IN_RATE_25_34,OUT_RATE_25_34,NET_RATE_25_34,IN_COUNT_35_54,OUT_COUNT_35_54,POP_AGE_35_54,NET_COUNT_35_54,IN_RATE_35_54,OUT_RATE_35_54,NET_RATE_35_54,IN_COUNT_55_64,OUT_COUNT_55_64,POP_AGE_55_64,NET_COUNT_55_64,IN_RATE_55_64,OUT_RATE_55_64,NET_RATE_55_64,IN_COUNT_65_PLUS,OUT_COUNT_65_PLUS,POP_AGE_65_PLUS,NET_COUNT_65_PLUS,IN_RATE_65_PLUS,OUT_RATE_65_PLUS,NET_RATE_65_PLUS,state_name,POP,MED_RENT,MED_HOMEVAL,COST_BURDEN_ALL,VACANCY_RATE,TRANSIT_SHARE,BA_PLUS,LAND_AREA,POP_DENS,GDP,RPP,REAL_PCPI,UNEMP,PRIV_EMP,PRIV_ESTAB,PRIV_AVG_PAY,PERMITS,ELEC_PRICE_TOT,COMMUTE_MED,UNINSURED,CRIME_VIOLENT_RATE,NRI_RISK_INDEX,abbrev,IN_SHARE_18_24,OUT_SHARE_18_24,IN_SHARE_25_34,OUT_SHARE_25_34,IN_SHARE_35_54,OUT_SHARE_35_54,IN_SHARE_55_64,OUT_SHARE_55_64,IN_SHARE_65_PLUS,OUT_SHARE_65_PLUS,IN_COUNT_ALL_AGES,OUT_COUNT_ALL_AGES,IN_SHARE_ALL_AGES,OUT_SHARE_ALL_AGES,IN_SHARE_PCT_18_24,IN_SHARE_PCT_25_34,IN_SHARE_PCT_35_54,IN_SHARE_PCT_55_64,IN_SHARE_PCT_65_PLUS,OUT_SHARE_PCT_18_24,OUT_SHARE_PCT_25_34,OUT_SHARE_PCT_35_54,OUT_SHARE_PCT_55_64,OUT_SHARE_PCT_65_PLUS,IN_SHARE_PCT_ALL_AGES,OUT_SHARE_PCT_ALL_AGES,REL_IN_18_24,REL_OUT_18_24,DIFF_IN_18_24,DIFF_OUT_18_24,SHARE_GAP_18_24,REL_IN_25_34,REL_OUT_25_34,DIFF_IN_25_34,DIFF_OUT_25_34,SHARE_GAP_25_34,REL_IN_35_54,REL_OUT_35_54,DIFF_IN_35_54,DIFF_OUT_35_54,SHARE_GAP_35_54,REL_IN_55_64,REL_OUT_55_64,DIFF_IN_55_64,DIFF_OUT_55_64,SHARE_GAP_55_64,REL_IN_65_PLUS,REL_OUT_65_PLUS,DIFF_IN_65_PLUS,DIFF_OUT_65_PLUS,SHARE_GAP_65_PLUS
01,27864,21983,485435,5881,57.400063860249055,45.28515661211079,12.114907248138268,24572,23041,655347,1531,37.494640244023394,35.158473297352394,2.336166946671,24248,18842,1281732,5406,18.918151376418784,14.700420992844055,4.217730383574725,11202,6904,647816,4298,17.291947096089014,10.657347147955592,6.63459994813342,9245,7066,955166,2179,9.67894585862562,7.397667002384925,2.281278856240695,Alabama,5157699,1077,233300,25.5359965972786,7.561434375294372,0.4375869504505609,29.8535816190738,50645.33,101.83957731147176,255629.4,88.823,52216,3.1,1717475,154400,61241.33778599397,20725,11.9,22.992585563415453,8.2,359.9,82.67,AL,0.0174513424205908,0.0136586184186,0.0140713681559418,0.0132159247275624,0.0164191737596576,0.0127870503460416,0.021070570045256,0.0129994840876824,0.0143960734300961,0.01103143788064,97131,77836,0.0162059213654678,0.0129769057892244,1.745134242059088,1.407136815594182,1.641917375965764,2.107057004525602,1.4396073430096124,1.3658618418600028,1.321592472756244,1.278705034604166,1.2999484087682498,1.103143788064003,1.6205921365467877,1.297690578922448,1.0768497530647527,1.052532756301712,0.001245421055123,0.0006817126293755995,0.0037927240019908007,0.8682855999736993,1.0184187927553943,-0.002134553209526,0.00023901893833799988,0.0008554434283794005,1.0131589182361582,0.9853697448169463,0.00021325239418979944,-0.0001898554431828004,0.003632123413616,1.300177235843806,1.001739883052611,0.004864648679788201,2.2578298458000162e-05,0.0080710859575736,0.8883218118515499,0.8500822969524944,-0.0018098479353717,-0.0019454679085843998,0.0033646355494561
02,7363,8184,68011,-821,108.26189881048654,120.33347546720384,-12.071576656717296,9463,10961,113311,-1498,83.51351589872122,96.7337681248952,-13.22025222617398,6410,8331,190818,-1921,33.592218763429024,43.659403200955886,-10.067184437526858,1384,3051,84380,-1667,16.401990993126333,36.15785731215928,-19.755866319032947,1027,3056,109415,-2029,9.386281588447654,27.930356898048714,-18.54407530960106,Alaska,740133,1444,376500,26.370851502490467,6.685146917998085,0.6795899254937386,32.754597087105665,570640.95,1.2970204819685656,55945.7,102.359,60272,4.6,253788,23333,71479.76712452913,1032,22.17,16.332883164794623,11.0,724.1,78.75,AK,0.0046114784037758,0.0050849353199209,0.0054190687310628,0.0062870427038241,0.0043404364813347,0.0056538008933697,0.0026032555742398,0.0057447024842872,0.0015992176757932,0.0047710266293852,25647,33583,0.0042791000325349,0.0055989956719194,0.4611478403775863,0.5419068731062894,0.4340436481334768,0.2603255574239808,0.1599217675793263,0.5084935319920967,0.6287042703824135,0.5653800893369764,0.574470248428727,0.4771026629385215,0.4279100032534975,0.5598995671919493,1.0776748308554969,0.9081870424410823,0.0003323783712408995,-0.0005140603519985,-0.00047345691614510046,1.266403844233712,1.122887580598688,0.0011399686985278995,0.0006880470319047,-0.0008679739727613005,1.0143339600227725,1.0097884021816919,6.133644879979978e-05,5.480522145029972e-05,-0.001313364412035,0.6083652063393468,1.0260237408466955,-0.0016758444582951003,0.00014570681236779955,-0.0031414469100474,0.3737275744044333,0.8521218641609767,-0.0026798823567417,-0.0008279690425342006,-0.0031718089535919996
04,45570,37875,726880,7695,62.69260400616333,52.10626238168611,10.586341624477216,50663,42004,1047734,8659,48.35483051996022,40.09032827034343,8.264502249616791,44372,34311,1850112,10061,23.98341289608413,18.545363740141138,5.438049155942991,24557,17006,880749,7551,27.88195047624238,19.30856577753708,8.573384698705306,34586,22658,1491158,11928,23.194054553575143,15.19490221693476,7.999152336640383,Arizona,7582384,1672,426000,31.347722948222533,6.786212820788146,1.1360979877515311,34.73430348633038,113594.08,66.74981653973516,446968.2,100.677,52890,3.6,2814912,222682,70192.19139426028,59616,12.74,23.59795053653508,10.3,421.9,97.74,AZ,0.0285406859785503,0.0235327376884172,0.0290126047893732,0.0240927781891642,0.0300458420514487,0.0232850273019337,0.0461908577576639,0.0320204557350997,0.0538564192161497,0.0353736653693096,199748,153854,0.0333271600303659,0.0256507125661049,2.854068597855033,2.901260478937329,3.004584205144873,4.619085775766399,5.385641921614976,2.353273768841724,2.409277818916421,2.3285027301933736,3.2020455735099733,3.5373665369309624,3.3327160030365977,2.5650712566104925,0.8563791800005034,0.9174301738312559,-0.004786474051815599,-0.002117974877687702,0.0050079482901331,0.8705393667788821,0.9392635049445226,-0.004314555240992699,-0.0015579343769407013,0.004919826600208999,0.9015422263424954,0.9077731170986165,-0.0032813179789171996,-0.0023656852641712016,0.006760814749514999,1.385982415410653,1.2483261684282345,0.012863697727298,0.006369743168994798,0.014170402022564199,1.6159918567042213,1.3790519572564508,0.0205292591857838,0.0097229528032047,0.018482753846840096
05,16833,11325,291543,5508,57.73762360955331,38.84504172626336,18.892581883289942,9582,13389,390523,-3807,24.53632692568684,34.28479244500324,-9.748465519316404,14047,12960,773267,1087,18.16578232357,16.760058298104017,1.4057240254659775,5624,4024,372173,1600,15.111252025267818,10.812176057908554,4.299075967359266,5541,4856,562707,685,9.847042954859278,8.629713154448051,1.2173298004112263,Arkansas,3088354,982,215600,24.946140136707,5.962598002059033,0.2850755417733386,27.1173171580096,52035.48,59.35092748255613,147389.9,86.937,55219,3.5,1097701,99464,58721.44880527575,13684,9.59,19.7614287911074,9.4,579.4,76.41,AR,0.010542579922689,0.0070365215662396,0.0054872151094837,0.0076797021039596,0.0095117178242292,0.0087952538204383,0.0105785472178646,0.0075767560789157,0.0086283010141874,0.0075811862932901,51627,46554,0.0086137597917761,0.0077615354349087,1.0542579922689,0.5487215109483743,0.951171782422925,1.0578547217864651,0.8628301014187412,0.7036521566239609,0.7679702103959616,0.8795253820438378,0.7576756078915755,0.7581186293290119,0.8613759791776159,0.7761535434908736,1.2239231389705598,0.9065888605741284,0.0019288201309128998,-0.0007250138686691002,0.0035060583564493998,0.6370290375084018,0.9894565538435807,-0.0031265446822924,-8.18333309491005e-05,-0.0021924869944758996,1.1042469321364656,1.1331847795064225,0.0008979580324531,0.0010337183855295999,0.0007164640037908999,1.2280987017962077,0.9761929379125261,0.0019647874260885004,-0.0001847793559930002,0.0030017911389489003,1.0016881388340062,0.9767637288870122,1.4541222411299307e-05,-0.00018034914161860031,0.0010471147208972994
06,94331,135102,3644130,-40771,25.885739531794968,37.07386948325114,-11.188129951456178,121481,158750,5708737,-37269,21.279838254941502,27.808252508391963,-6.528414253450457,81536,149312,10463439,-67776,7.792466702391059,14.269878192055211,-6.477411489664154,21431,53309,4678758,-31878,4.5804890956104165,11.39383571452082,-6.813346618910403,32962,60225,6524861,-27263,5.051755125511486,9.23008168296612,-4.178326557454634,California,39431263,2104,759500,41.21519204953776,4.257601506500651,3.297796045998231,38.12364901183692,155779.22,253.12273999060977,3306928.6,110.72,63028,5.3,15546764,1812802,92116.48331633516,101545,27.04,24.947765341423533,5.9,486.0,98.8,CA,0.0590799089103057,0.0839424403215985,0.0695671445121263,0.0910562931513622,0.0552108937507194,0.10133001068189,0.0403109611355009,0.1003750720206063,0.0513275686752653,0.0940232587548182,351741,556698,0.0586865880821883,0.0928133190175457,5.907990891030571,6.956714451212634,5.521089375071946,4.031096113550095,5.132756867526538,8.394244032159854,9.105629315136223,10.133001068189005,10.037507202060636,9.402325875481823,5.868658808218835,9.281331901754571,1.006702056482932,0.9044223524182965,0.00039332082811739666,-0.008870878695947201,-0.024862531411292806,1.1854010734905938,0.9810692486295921,0.010880556429937994,-0.0017570258661835092,-0.0214891486392359,0.9407753211585358,1.0917615246873595,-0.0034756943314689023,0.008516691664344295,-0.0461191169311706,0.6868854103265801,1.081472714079227,-0.0183756269466874,0.007561753003060598,-0.0600641108851054,0.8746047496130295,1.0130362727039615,-0.007359019406923004,0.0012099397372725001,-0.04269569007955291
08,40472,43277,545685,-2805,74.16733096933213,79.30765918066284,-5.140328211330713,54339,55557,943431,-1218,57.59721696658261,58.888249379127885,-1.2910324125452737,37615,42807,1611095,-5192,23.347474854058884,26.57012777024321,-3.2226529161843342,11419,16047,670072,-4628,17.041452261846487,23.94817273367638,-6.906720471829893,14274,17400,980364,-3126,14.559898160275162,17.74850973719965,-3.1886115769244894,Colorado,5957494,1822,574600,34.30883280400921,4.5544885009052285,1.724779169542351,47.7663769613138,103641.89,57.48152605090471,448838.5,103.052,65223,4.3,2436000,246252,81425.54986247947,32185,12.07,22.89894431155406,7.9,476.3,84.99,CO,0.02534778676594,0.0268891429423533,0.031117697958071,0.0318665478967573,0.0254704396638701,0.0290508048064433,0.0214787394524887,0.0302147626238472,0.0222271013673544,0.0271648767510807,158119,175088,0.0263815268079852,0.0291908690172122,2.534778676594007,3.111769795807108,2.54704396638701,2.1478739452488704,2.2227101367354467,2.688914294235333,3.1866547896757367,2.905080480644334,3.02147626238472,2.716487675108074,2.638152680798525,2.919086901721229,0.960815761363277,0.9211491074999616,-0.001033740042045199,-0.002301726074858901,-0.0015413561764133013,1.1795260442868778,1.0916615013402788,0.004736171150085802,0.0026756788795451007,-0.0007488499386863016,0.9654649577052026,0.9952017800262708,-0.0009110871441150997,-0.0001400642107689011,-0.003580365142573202,0.8141583164924133,1.0350758179220791,-0.004902787355496499,0.0010238936066349971,-0.0087360231713585,0.842525208231188,0.9305949999317632,-0.004154425440630799,-0.002025992266131503,-0.004937775383726299
09,20790,24318,341838,-3528,60.81828234426834,71.13896056026539,-10.32067821599705,19774,19886,468204,-112,42.233727178751145,42.47293914618414,-0.2392119674329993,18178,17981,920016,197,19.75835202866037,19.54422531782056,0.2141267108398114,6641,6398,504454,243,13.164728597652116,12.68301966086105,0.4817089367910652,6395,8685,713337,-2290,8.964907189729399,12.17517106220482,-3.210263872475422,Connecticut,3675069,1550,396900,34.62148725119998,4.278096832749124,4.01688444441599,42.56536138949529,4842.36,758.9417143706788,286160.1,103.61,74254,3.2,1459801,145501,88959.23517041022,5926,24.37,22.62298272072319,5.8,136.0,93.0,CT,0.0130208659533478,0.0151094155803809,0.0113237519907046,0.0114062705235148,0.0123089632383312,0.0122027360297301,0.0124914886333284,0.0120467409028088,0.0099581275917214,0.0135590203783411,71778,77268,0.0119758740646194,0.012882208188008,1.3020865953347849,1.1323751990704605,1.230896323833127,1.2491488633328445,0.995812759172144,1.5109415580380998,1.1406270523514894,1.220273602973013,1.2046740902808897,1.3559020378341162,1.1975874064619465,1.2882208188008082,1.0872580893127162,1.1728901877588191,0.0010449918887284002,0.0022272073923729,-0.002088549627033101,0.9455470164101526,0.8854282089721897,-0.0006521220739147994,-0.0014759376644932001,-8.251853281020065e-05,1.0278133497325137,0.9472549932153388,0.0003330891737118001,-0.0006794721582778999,0.0001062272086010986,1.0430544414484362,0.9351456463825096,0.0005156145687090011,-0.0008354672851992005,0.0004447477305196002,0.8315157238619372,1.0525385229345339,-0.0020177464728979994,0.0006768121903330988,-0.0036008927866196996
10,7876,7676,91460,200,86.11414826153509,83.92739995626503,2.186748305270064,6737,9289,127148,-2552,52.98549721584296,73.05659546355429,-20.07109824771133,7649,3672,248517,3977,30.77857852782707,14.77564915076232,16.00292937706475,3831,2319,143222,1512,26.748683861417938,16.191646534750248,10.557037326667691,3956,2695,227824,1261,17.364281199522438,11.829306833345038,5.5349743661774005,Delaware,1051917,1530,371600,28.422959757848577,7.55671991046902,2.3464044449774155,35.99156835777161,1948.54,539.8488098781652,85350.5,99.808,55185,3.7,409731,45178,72499.77583585327,7141,13.56,22.955674919652424,6.9,360.8,93.04,DE,0.0049327724987286,0.0047693015048525,0.0038580012724475,0.0053280120131212,0.0051794069650124,0.0024919885824575,0.0072059769544166,0.004366425782059,0.0061601802584597,0.0042074334967909,30049,25651,0.0050135562396242,0.0042765636774679,0.4932772498728602,0.3858001272447503,0.5179406965012425,0.7205976954416694,0.6160180258459736,0.4769301504852559,0.5328012013121284,0.249198858245754,0.4366425782059054,0.4207433496790954,0.5013556239624263,0.4276563677467973,0.9838869383259067,1.115218166861564,-8.078374089560015e-05,0.0004927378273846001,0.0001634709938761001,0.7695139114938268,1.2458628971651018,-0.0011555549671767003,0.0010514483356533003,-0.0014700107406737002,1.0330804557606061,0.5827081672107769,0.00016585072538819953,-0.0017845750950104002,0.0026874183825549,1.4372985182583164,1.0210126894788356,0.0021924207147923994,8.986210459110012e-05,0.0028395511723575996,1.2287047285464274,0.9838351101747347,0.0011466240188354997,-6.913018067699998e-05,0.0019527467616688
12,82508,83117,1906324,-609,43.28120508371085,43.60066809209767,-0.3194630083868219,109141,113810,2925033,-4669,37.31274142890012,38.90896273648878,-1.5962213075886664,122794,118711,5898172,4083,20.81899273198544,20.12674435401341,0.6922483779720225,72392,40496,3056397,31896,23.6854047429048,13.249587668094165,10.435817074810634,94365,65190,5094353,29175,18.52345135878884,12.796521952836798,5.726929405952041,Florida,23372215,1812,396900,38.85641307528434,8.422016777842776,1.2912059812452903,35.836379912636744,53624.76,435.8474518114393,1352275.1,103.414,57131,3.4,8729175,876034,69297.92033072999,173326,12.53,26.015276588821497,10.9,267.1,95.32,FL,0.0516751134237048,0.051642787021734,0.062500536867477,0.0652794754239781,0.0831481368625618,0.0805627605152824,0.1361668190248325,0.0762495810566034,0.1469427224695533,0.1017746158277559,481200,421324,0.0802863077808644,0.0702436129135517,5.167511342370487,6.250053686747706,8.314813686256187,13.616681902483249,14.694272246955336,5.1642787021734,6.5279475423978175,8.056276051528243,7.624958105660348,10.177461582775594,8.028630778086443,7.024361291355176,0.6436354448475603,0.7351954843964305,-0.0286111943571596,-0.018600825891817704,3.2326401970803054e-05,0.7784706831713776,0.9293296958446183,-0.0177857709133874,-0.004964137489573597,-0.0027789385565011038,1.0356452944567902,1.1469051373315662,0.002861829081697395,0.010319147601730694,0.0025853763472794,1.6960154575359208,1.085501982229234,0.05588051124396809,0.006005968143051696,0.05991723796822909,1.8302339032780373,1.4488807110905468,0.06665641468868891,0.0315310029142042,0.045168106641797406
13,43035,47304,1060982,-4269,40.5614798366042,44.58511077473511,-4.023630938130902,59193,57047,1526208,2146,38.784359667882754,37.37826036818048,1.4060992997022683,67536,49126,2949805,18410,22.89507272514624,16.653982212383532,6.241090512762708,19327,16416,1347149,2911,14.346594177778403,12.185734465897982,2.160859711880423,21952,19013,1765603,2939,12.433146069643062,10.768558956911605,1.6645871127314578,Georgia,11180878,1506,343300,31.48394638655096,7.714738056691026,1.2023791387200922,36.310282371374,57513.49,194.40444320106465,697450.9,96.293,52952,3.5,4183693,383400,71591.73513209501,68367,11.4,25.78604318730946,12.0,325.7,73.59,GA,0.0269530046321464,0.0293912243858188,0.033897383007271,0.0327211864907449,0.0457310012797854,0.0333391696900351,0.0363534107538531,0.0309095496499704,0.0341830831733337,0.0296830920499021,211043,188906,0.0352116858956711,0.0314946215763816,2.6953004632146444,3.389738300727105,4.573100127978549,3.635341075385316,3.4183083173333704,2.939122438581885,3.272118649074495,3.333916969003517,3.090954964997044,2.968309204990219,3.521168589567118,3.149462157638162,0.7654562383637525,0.9332140827454749,-0.008258681263524699,-0.0021033971905628016,-0.0024382197536724007,0.9626742413784374,1.0389452183570012,-0.0013143028884000998,0.0012265649143632998,0.001176196516526097,1.2987450079863272,1.0585670829281135,0.010519315384114304,0.0018445481136534977,0.012391831589750303,1.0324246007863647,0.9814231161662866,0.0011417248581820014,-0.0005850719264112042,0.005443861103882702,0.9707880297073802,0.9424813051940907,-0.0010286027223374017,-0.0018115295264795016,0.004499991123431597
15,12646,8790,115613,3856,109.3821629055556,76.02951225208238,33.352650653473226,13415,15102,185706,-1687,72.23783830355508,81.32208975477367,-9.084251451218591,10606,10725,366453,-119,28.94232002466892,29.267054710972484,-0.3247346863035641,3334,3201,173509,133,19.215141577670323,18.44861073488984,0.7665308427804898,3331,3608,311305,-277,10.70011724835772,11.58991985351986,-0.88980260516214,Hawaii,1446146,1942,875900,37.68744258857835,5.942174949028471,4.2980666445243925,37.7574922394315,6422.63,225.16414615196572,91878.0,109.951,52272,3.0,516956,57568,64847.067742709245,3879,38.0,23.720002180668374,3.5,217.7,97.36,HI,0.0079202439079382,0.0054614591229356,0.0076822156850056,0.0086622496955708,0.0071816956819089,0.0072784797240896,0.0062711373443031,0.0060271362347438,0.005186946521974,0.005632808926316,43332,41426,0.0072297720049052,0.0069065894858987,0.7920243907938282,0.7682215685005678,0.718169568190898,0.6271137344303122,0.5186946521974061,0.5461459122935642,0.866224969557085,0.727847972408963,0.602713623474387,0.5632808926316052,0.7229772004905273,0.6906589485898726,1.0955039664548945,0.7907606401229367,0.0006904719030330006,-0.0014451303629630999,0.0024587847850026006,1.0625806290701048,1.2542007474538135,0.0004524436801003999,0.0017556602096720992,-0.0009800340105651992,0.9933502297218112,1.053845713423419,-4.807632299630004e-05,0.0003718902381908999,-9.678404218069984e-05,0.8674045792935527,0.8726646121141998,-0.0009586346606020998,-0.0008794532511549004,0.00024400110955930063,0.7174426134675893,0.815570251832196,-0.0020428254829312,-0.0012737805595827,-0.000445862404342
16,17927,15929,198965,1998,90.10127409343352,80.0593069132762,10.041967180157314,15946,14401,259321,1545,61.49135627272762,55.53348938188577,5.957866890841852,14678,11898,492965,2780,29.774933311695555,24.13558771920928,5.639345592486282,5224,3345,227570,1879,22.955574109065346,14.698774003603289,8.256800105462055,8670,4660,355551,4010,24.38468742880768,13.106417925979676,11.278269502828003,Idaho,2001619,1384,446400,27.589622208229443,4.759423924273062,0.4616383276403191,33.026560441872775,82643.12,24.220031867141515,99567.3,95.494,52816,3.7,734589,99957,60149.488980913135,17630,9.51,19.00943523750304,9.2,230.6,65.74,ID,0.0112277568035433,0.0098971083468989,0.0091316147083936,0.0082601680483323,0.0099389901205977,0.0080745316323746,0.0098261612137491,0.0062982726351822,0.0135006983925293,0.0072751911298871,62445,50233,0.0104187001026103,0.0083749024681395,1.122775680354338,0.9131614708393628,0.9938990120597776,0.9826161213749102,1.3500698392529302,0.989710834689896,0.8260168048332394,0.8074531632374679,0.6298272635182208,0.7275191129887141,1.0418700102610308,0.8374902468139593,1.077654284408311,1.1817580425026206,0.0008090567009329998,0.0015222058787594007,0.0013306484566443996,0.8764639176153814,0.9863002082419847,-0.0012870853942166995,-0.00011473441980719944,0.0008714466600613004,0.9539568298071645,0.9641344079041404,-0.00047970998201259975,-0.00030037083576489945,0.0018644584882231002,0.9431273687671704,0.7520413114233404,-0.0005925388888612,-0.0020766298329572995,0.0035278885785669,1.2958140900079114,0.8686896543051082,0.0030819982899189993,-0.0010997113382523998,0.0062255072626422
17,56452,80140,1168050,-23688,48.330122854329865,68.61007662343222,-20.27995376910235,55595,63390,1737093,-7795,32.00461921152178,36.4920012918134,-4.487382080291614,35261,54547,3269377,-19286,10.78523522983125,16.684218430606197,-5.898983200774949,12996,21818,1568396,-8822,8.286172624770785,13.911027572118266,-5.624854947347481,13432,25994,2274582,-12562,5.905260834737987,11.428033810168198,-5.522772975430211,Illinois,12710158,1322,280700,29.90315443424357,4.209386086683832,6.9718165426465735,39.230752019787,55518.93,228.9337708777889,899125.9,99.958,60333,5.0,5236228,387954,78251.40868636736,20326,12.21,24.92326662825834,6.9,289.2,90.39,IL,0.0353561291389318,0.0497930983062642,0.0318369572126642,0.0363594231361565,0.0238764634584002,0.037018110350575,0.0244450212737142,0.0410809304497475,0.0209159608775609,0.0405818279464133,173736,245889,0.0289871611982881,0.0409948916646104,3.5356129138931824,3.183695721266423,2.38764634584002,2.4445021273714267,2.0915960877560966,4.979309830626422,3.635942313615655,3.701811035057502,4.10809304497475,4.058182794641338,2.898716119828816,4.099489166461044,1.2197168566137422,1.2146171458052424,0.006368967940643698,0.008798206641653802,-0.014436969167332406,1.0983123526613017,0.886925703661377,0.002849796014376099,-0.004635468528453902,-0.0045224659234923,0.823690988402489,0.9029932473887123,-0.005110697739887898,-0.0039767813140354005,-0.0131416468921748,0.8433051138225242,1.0020987684475666,-0.004542139924573897,8.603878513709778e-05,-0.016635909176033296,0.7215594771245187,0.9899240197638165,-0.008071200320727199,-0.00041306371819709725,-0.019665867068852403
18,36311,33542,659956,2769,55.02033468897927,50.82460042790731,4.195734261071951,31007,32527,929702,-1520,33.35154705486274,34.98647953860484,-1.6349324837421022,24004,25367,1704962,-1363,14.078906157439286,14.878337464412695,-0.7994313069734106,8917,7896,832526,1021,10.71077660037044,9.484388475555118,1.226388124815321,10992,9822,1218401,1170,9.02166035648362,8.061385373124283,0.9602749833593374,Indiana,6924275,1104,243500,25.81475891840324,5.217695301082602,0.5899066770855499,30.65626086442457,35826.11,193.2745419472,412003.4,93.329,55562,4.2,2780349,186716,63313.84257695707,26633,11.38,21.82685979572005,7.5,312.9,72.54,IN,0.0227417346624345,0.0208405303642215,0.0177564265184473,0.0186569325816337,0.0162539527765927,0.0172152163320262,0.0167725649967459,0.0148673126240354,0.0171164563703208,0.015334104566041,111231,109154,0.0185584503341091,0.0181982781041807,2.274173466243452,1.775642651844734,1.6253952776592793,1.677256499674593,1.7116456370320887,2.084053036422154,1.865693258163376,1.7215216332026262,1.486731262403549,1.5334104566041094,1.8558450334109169,1.81982781041807,1.225411295286699,1.1451924322133418,0.0041832843283254005,0.002642252260040799,0.0019012042982129995,0.9567839016069281,1.0252031799287447,-0.0008020238156617975,0.00045865447745300006,-0.0009005060631863994,0.8758248929178694,0.9459805061486196,-0.0023044975575164,-0.0009830617721545004,-0.0009612635554335017,0.9037696949253964,0.8169626015672288,-0.0017858853373631974,-0.0033309654801453002,0.001905252372710501,0.9222998721429873,0.8426129372381823,-0.0014419939637882982,-0.0028641735381397006,0.0017823518042798005
19,21022,17585,321744,3437,65.33765975433886,54.65525386642797,10.682405887910884,12694,17398,410098,-4704,30.95357694989978,42.4240059693049,-11.47042901940512,10124,13117,780148,-2993,12.977024872203735,16.81347641729518,-3.836451545091444,3788,3975,389525,-187,9.724664655670368,10.204736538091264,-0.4800718824208972,4627,8157,612603,-3530,7.553015574523794,13.315311874084848,-5.762296299561053,Iowa,3241488,981,227300,23.786717799768056,5.709335815476684,0.8258230954060862,32.050781481626764,55857.13,58.03176783339925,206438.9,87.762,60144,3.0,1315014,105436,61489.50445318453,12544,9.34,17.723408749723134,5.4,243.3,62.85,IA,0.013166168545997,0.0109260248779093,0.0072693288039852,0.0099791961464403,0.0068553165268382,0.0089018012625532,0.0071250954589742,0.0074844943870999,0.0072050439979507,0.012734706876929,52255,60232,0.008718539096195,0.0100419470360317,1.316616854599704,0.7269328803985246,0.6855316526838253,0.7125095458974272,0.7205043997950759,1.0926024877909362,0.9979196146440316,0.8901801262553256,0.7484494387099933,1.2734706876929058,0.8718539096195077,1.004194703603177,1.5101347141682329,1.088038488821483,0.004447629449801999,0.0008840778418776011,0.0022401436680876997,0.8337783112262152,0.9937511232267765,-0.0014492102922098009,-6.275088959139911e-05,-0.0027098673424551002,0.7862918834452483,0.8864616822427444,-0.0018632225693568007,-0.0011401457734784987,-0.0020464847357150005,0.8172350184314456,0.7453230295125681,-0.0015934436372208004,-0.002557452648931799,-0.0003593989281256999,0.8264049651500869,1.2681511694131984,-0.0015134950982443008,0.002692759840897301,-0.0055296628789783
